product_id,sell_price_paise,source,as_of
SHTEGQCHNQ6QWYMH,110100,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
DRPEC89ZRJRNHUGH,89900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
BLAEE2GJATTR8YG5,129900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
CRGE956ZTWA2Q4JW,189900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
TOPE7FYTNWSWAF6N,34900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
DREEFFG5PA6AVFH9,90000,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
HJREGXNFQMRPYVU3,75000,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
DREE4V9ZYNGWHTGG,99900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
SHOE9YGXQHFW8FCZ,29900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
RTRD38494HWZVMAK,210000,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
TSHE6KWDSPNRHFDC,32900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
SGLEJ8GVTZDGFGUJ,47900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
CPCEJ8GNEUGJERZG,29900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
FABEH3PHASHTTANZ,269900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
SWSEBGYUPTH7GSHE,94900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
TOPE8TQDQDHZZY9S,170000,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
NKCDXHWZHPXRF28E,25000,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
CAGDUNH3VAZ8PM3Q,44900,erp:price_confirmation_sim_2026-09,2026-09-01T09:00:00+00:00
