product_id,qty,source,as_of
FSEEJS6CT2TZFJUU,0,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
STIE9F5UAZDTVFG5,26,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
PELEGPF7C9YZFKDM,34,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
CAPE2ZGGQ56T9HGZ,1,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
WCKE56UCFX5EG9ZK,25,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BXRE7YHJVCUKHKF7,8,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
PCSEAH5WEFMRTDEX,3,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
CBKEAHJXFZTXMFZ9,6,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
VAREGHJHAYZH3DEE,39,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BATDCXVFGC7BHGZK,0,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
RNGEDAK7ZHEZDHEH,7,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
KRTEBT9CWJBZYZGJ,22,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
PACEBEW6FSE32PDY,6,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SHIEBY82QFGWNYTE,31,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SHTE3ZDHFJ42TPFB,29,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
TOPE8DPRAU6DCFKN,20,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BRAE3P8YHGJF5WUZ,10,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SFFEHK9JZTUFV3HN,35,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BBAE7Z93RYAJP662,35,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
DREEHPGGYTZB7WGH,3,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BRAE6FMZXSZWA2QY,19,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
KRTEBFRQEW73G6BA,27,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SHTEBJKTHTYT7NER,15,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SWTEC87HBGGCZ5HZ,0,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BBAE73VFNENV92GG,10,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BKPEFKJYGPRQWMZ7,19,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BTWE5FQBGFYDBQFY,25,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
PCSE4FKC73GEKW7W,8,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SFFEG3FZXBBHJHZG,8,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SHTE6P4EQHBG7VWY,19,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
BRAECKHYDVMUMAKF,40,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
JWSE346HBDCSUGR6,24,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
ACCDY6GVZYHGRRPP,6,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SHIE4GFNDBQTUBTU,39,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
SHTECJPBXNATSCCH,28,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
VAREGHJHEWTEXDVW,39,wms:stock_snapshot_sim,2026-09-04T17:12:44.800284+00:00
